ordinal	full_sha	subject	dashboard_scope	tags	attention	evidence_paths	migration_action	final_disposition
074	592e42f822a5630235130ac48e2652372402f2ab	Add icons to API details drawers	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/components/api-details/api-details-drawer.tsx; apps/frontend/dashboard/src/components/api-details/domain.tsx	Portable React/icon change; carry forward as-is.	preserved by ancestry
075	a4e4b9b25478a4ae8aaea6c43701c6d67679819e	Use Pulse Loader For Dashboard Loading	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/dashboard/dashboard-content-skeleton.tsx	This intermediate loader is superseded by commit 91; preserve the current LoadingDot implementation rather than reintroducing @dot-loaders/react.	mechanical port
076	e28d3e477ca541359c0e4c14a02f3c73c2c84621	Prevent Duplicate Domain Verification Events	none	SHARED_BACKEND	0	apps/backend/workflow/src/handlers/domain-verification.handler.ts	Backend-only duplicate-event guard; no dashboard migration action.	preserved by ancestry
077	e3cd10755795fd1875d93ea0cba694a67e606e76	Expand DNS configuration emails and metadata	none	SHARED_BACKEND	0	apps/backend/email/emails/dns-config.tsx; packages/bus/src/types.ts	Backend email/shared event contract only; no dashboard framework action.	preserved by ancestry
078	01c8da1d7e86ceacda84a3ce4e26889d4e7ab3e7	docs: clean up contacts documentation by removing unnecessary line breaks	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/contacts/index.mdx	Docs-only; no migration action.	preserved by ancestry
079	c33284d10d681d48bbcc7fd1cf3d1c1cad13c419	docs: update contacts documentation and improve slug generation	none	UNIVERSAL_REACT,TEST_DOCS	0	apps/frontend/docs/src/components/mdx/CodeSamples.tsx; apps/frontend/docs/src/mdx-components.tsx	Docs-app React and slugging only; no dashboard migration action.	preserved by ancestry
080	b40d7523cf31cde06efde44c0d6fae1286728aba	feat: implement inline editing for contacts with new edit contact form and row panel	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/contacts/components/contacts/contact-table.tsx; apps/frontend/dashboard/src/features/contacts/components/contacts/edit-contact-row-panel.tsx	Carry the inline editor as client React; verify row animation, focus/keyboard handling, data loading, save, close, and modal fallback.	mechanical port
081	fd476eac04e030dae4681861b6791801c0f0da0f	refactor: update edit contact form to handle cleared fields and always send properties	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/contacts/components/contacts/edit-contact-form.tsx	Portable form payload correction; retain cleared fields and always-send-properties behavior.	preserved by ancestry
082	6d18697e4893239e6272c580be4af91989f43c40	docs: enhance contacts documentation with additional FAQs and update images	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/contacts/index.mdx	Docs/assets only; no dashboard migration action.	preserved by ancestry
083	ef1893634b7a915d79acbc50a83b3bfceddd4e14	Redesign Webhook Delivery Pipeline	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	2	apps/frontend/dashboard/src/features/webhooks/components/trigger-webhook-tester.tsx; apps/backend/workflow/src/queues/webhook-delivery.worker.ts; packages/webhook-delivery/src/http-client.ts; packages/db/migrations/0002_webhook_redesign.sql	Preserve the redesigned delivery schema/protocol and portable selector/tester UI; validate create, trigger, delivery history, retry schedule, signing, and error states end to end.	semantic parity scenario
084	1ae2e7d0f21721167bc7f5dce9a02c70a2f9ce70	feat: add edit property form and integrate with modal and row panel for improved contact property management	mixed	UNIVERSAL_REACT,CLIENT_SSR,TEST_DOCS	1	apps/frontend/dashboard/src/features/contacts/components/properties/property-table.tsx; apps/frontend/dashboard/src/features/contacts/components/properties/edit-property-row-panel.tsx	Carry the inline property editor under a client boundary and verify row-panel/modal edit behavior.	mechanical port
085	1c814bd6207a193712957e6093db09edbec00430	feat: implement AI stream generation endpoint and fix formatting in code samples	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/template/src/routes/template/ai/ai.route.ts; apps/backend/template/test/ai.test.ts	Backend streaming endpoint and tests are retained on current main; no dashboard framework action yet.	preserved by ancestry
086	aa4df908cde98d3ec748fce232379f5a83c630b1	feat: integrate Google AI SDK and add AI content generator panel to editor	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/templates/components/ai-generate-modal.tsx; apps/frontend/dashboard/src/features/templates/editor/template-editor-page.tsx; apps/backend/template/src/routes/template/ai/ai.controllers.ts	Port editor/list links and navigation, keep Tiptap/Yjs/editor modules client-only, and validate AI generation, collaboration, preview, versioning, and template navigation.	semantic parity scenario
087	0047c45f197d87fc570eb68ca21d4a153046e169	refactor: improve AI streaming reliability, add explicit credential handling, and persist template content updates	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/templates/components/ai-generate-modal.tsx; apps/frontend/dashboard/src/features/templates/editor/editor-sidebar-panels.tsx; apps/backend/template/src/routes/template/ai/ai.route.ts	Preserve streaming Response handling, credentialed fetches, initial-version creation, and content persistence; test failure parsing and streamed generation through the Next proxy.	semantic parity scenario
088	f6f73205b53dd01cf0feb09a64b89c8a362d24b1	feat: add Google Gemma 2 and Ollama AI endpoint support to inbox AI routes	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/inbox/src/routes/ai/ai.controllers.ts; scripts/test-gemma-inbox-ai-route.ts	Backend AI provider fallback only; no dashboard migration action.	preserved by ancestry
089	606fe7bff4c9033e5cf525a842aedafb7cfb1af6	feat: integrate AI SDK packages and update dependency catalogs for backend and frontend dashboard	mixed	SHARED_BACKEND,ENV_BUILD_DEPLOY	1	apps/frontend/dashboard/package.json; apps/backend/inbox/package.json; package.json	Keep AI SDK packages in the current catalog sections while replacing only TanStack/Vite/Nitro dashboard dependencies.	mechanical port
090	562e5a409414ebdcbef149aa68337a6679f1767f	feat: switch default Gemma model to gemma2:9b	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/inbox/src/inbox.config.ts; scripts/test-gemma-reloop-template.ts	Backend model default/test script only; no dashboard migration action.	preserved by ancestry
091	02ae89f9ba557510dfcb20b9b0f848825f96ddec	feat: implement dot matrix animation system and integrate new AI sparkle buttons into compose modal	mixed	UNIVERSAL_REACT,CLIENT_SSR,ENV_BUILD_DEPLOY	2	apps/frontend/dashboard/src/components/ui/dotmatrix-hooks.ts; apps/frontend/dashboard/src/features/agent-inbox/components/shared/loading-dot.tsx; apps/frontend/dashboard/src/features/auth/auth-session-loader.tsx	Retain the dot-matrix system and explicit client boundaries, but replace random render-time loader selection with hydration-stable selection; validate reduced motion, loading states, and AI sparkle interactions.	semantic parity scenario
092	194bf4ba2c7d9a0537eb5f4b5dd2d50ece5cfca5	docs: expand contacts documentation with additional FAQs and update property management images	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/contacts/properties.mdx	Documentation-only; preserve current docs with no dashboard migration work.	preserved by ancestry
093	6fa77de305c7dbab387269bcd672122092904da0	chore: update bun.lock to remove deprecated @dot-loaders/react entry and add it to package.json with version ^0.1.0	none	ENV_BUILD_DEPLOY	1	package.json,bun.lock	Keep the current root catalog and lockfile state; do not restore dependency placement from the pre-migration tree.	mechanical port
094	31b380326ff419cda72012ba794fd20badc2a48b	feat: implement AI reply generation with context, add email metadata support, and introduce NATS/database-level inbound email deduplication.	mixed	UNIVERSAL_REACT,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/reply-composer.tsx,apps/backend/inbox/src/routes/ai/ai.controllers.ts	Keep the current React composer and backend contract together; validate contextual AI reply generation, metadata hydration, and deduplication end to end.	semantic parity scenario
095	77042f7ec0bcdf6620a488c55002a6ed4fce748b	feat: enhance group management in contacts by adding delete functionality, updating documentation with new FAQs, and improving UI images for group operations	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,TEST_DOCS	2	apps/frontend/dashboard/src/features/contacts/components/groups/group-table.tsx,apps/frontend/docs/content/docs/learn/contacts/groups.mdx	Carry the React table as-is; port group-detail navigation and the modal/id Nuqs URL update to the Next navigation adapter and test deletion from the table.	semantic parity scenario
096	5c9461fbc0d77010a5490c741761b2ad8b261a10	feat: implement streaming text/plain response support for AI drafting with improved UI status indicators and utility helpers.	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/agent-inbox/lib/read-ai-text-stream.ts,apps/backend/inbox/src/routes/ai/ai.controllers.ts	Preserve the streaming protocol and React UI; place it below a client boundary and test streaming, abort, keyboard listeners, timers, saved drafts, and fallback streams.	semantic parity scenario
097	2e23a6f7f7784a5cc015ccb07d1a3308cdf377b7	docs: update contacts group deletion image and modify timestamp in watcher-trigger	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/contacts/groups.mdx,apps/frontend/docs/src/lib/watcher-trigger.ts	Documentation/tooling-only; no dashboard migration action.	preserved by ancestry
098	465018a9d6dc4fe747fab0d5bf59c694ff01aee5	refactor: remove loading state from AiSparkleButton and hide component during active AI generation	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-sparkle-button.tsx	Portable React behavior; retain the current visibility/loading rules under the inbox client boundary.	mechanical port
099	828eee08e292c8023a57cd963f1313dfc8200a87	feat: add animated transitions to AI compose preview and thinking status using framer-motion	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-compose-preview.tsx	Portable React animation; retain reduced-motion behavior and add only the enclosing client boundary required by Framer Motion.	mechanical port
100	e456916ac63b4e5628cbb5deac570c527decc681	feat: add entry/exit animations to the thread saved draft bar and improve interaction feedback	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/thread-saved-draft-bar.tsx	Portable React animation and saved-draft presentation; preserve within the existing inbox client subtree.	mechanical port
101	0cb3797069b1b92a80c14ee5538ee469b972219f	feat: enhance Domain Connect flow by adding error handling for missing signing key and updating apply URL handling to open in a new tab	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/domain/detail/hooks/use-domain-connect.ts,apps/backend/domain/src/routes/domain-connect/apply-url/apply-url.controllers.ts	Preserve the signing-key failure and sig ordering; keep popup-open plus same-tab fallback in a client hook and test both browser outcomes.	semantic parity scenario
102	6f7cb1e5897cb612c45c368c0b4421cdc57bf5e6	refactor: replace inline AI state with centralized AiDraftPhase and optimize UI for streaming draft reviews	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-draft-phase.ts,apps/frontend/dashboard/src/features/agent-inbox/components/compose/compose-modal.tsx	Portable React state refactor; preserve the current thinking, streaming, review, accept, and undo phases.	mechanical port
103	231cfeb9e4f93d4eb66d866ed794fea93bdc31c1	refactor: replace AiComposePreview with AiComposerSlot and implement automatic draft acceptance on editor interaction	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-composer-slot.tsx,apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/reply-composer.tsx	Keep the portable component; verify window key listeners, editor-interaction auto-accept, remount timing, undo, and cleanup after Next hydration.	semantic parity scenario
104	9c525a094c1a7521669869cddce86a45e733faf7	feat: implement AI think-delay stream buffer and replace Esc key with circular stop button in composer UI	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/lib/read-ai-text-stream-after-think.ts,apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-stop-button.tsx	Preserve the client stream buffer and stop UI; validate delayed reveal, abort cleanup, timer cleanup, and Esc/stop behavior.	semantic parity scenario
105	e9f77c753eed83bed2033c9fe557394396e45082	fix: normalize multiline PEM format for signing key and update signature encoding to standard Base64 in Domain Connect flow	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/domain/src/domain.config.ts,apps/backend/domain/test/domain-connect-signer.test.ts	Backend-only and already retained by branching from main; keep its test unchanged.	preserved by ancestry
106	8f804de20d71d960b72978bf818d0ac6976187ed	refactor: standardize AI generator to use Gemma 2 9B model and remove legacy modal	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,SHARED_BACKEND,TEST_DOCS	1	apps/frontend/dashboard/src/features/templates/components/ai-generate-modal.tsx,apps/frontend/dashboard/src/features/templates/editor/editor-sidebar-panels.tsx,apps/backend/template/src/routes/template/ai/ai.controllers.ts	Preserve the removal of the legacy route-navigating modal and keep the current in-editor generator plus backend model contract; no deleted TanStack navigation should be recreated.	mechanical port
107	3d8f84ccbec4c2b2af1d5dce10d23795aed7b7ba	feat: unify template variable normalization and support both double and triple brace syntax across frontend and backend	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND,TEST_DOCS	2	apps/frontend/dashboard/src/features/templates/lib/template-variables.ts,apps/backend/template/src/utils/extract-variables.ts	Preserve the shared normalization semantics in both layers; validate double/triple braces, existing-variable reuse, editor updates, and deferred browser updates.	semantic parity scenario
108	6a9ca08955ee64ca6769bb5860f54845920ad18e	refactor: update template UI components with refreshed styling, status badges, and dropdown menus	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/templates/components/template-grid.tsx,apps/frontend/dashboard/src/features/logs/log-table.tsx	Portable React/UI work; retain current components and date/status behavior under feature client boundaries.	mechanical port
109	476ed5ccef1fd0986d38ce3187ef570688ca41fe	refactor: replace lucide-react icons with UI system icons and migrate component styles to semantic design tokens	mixed	UNIVERSAL_REACT,SHARED_BACKEND	1	apps/frontend/dashboard/src/features/templates/editor/editor-toolbar.tsx,packages/tailwind/style.css	Preserve current icon imports, semantic tokens, and shared styles; no framework-specific rewrite beyond client boundaries.	mechanical port
110	d3734afec31c7b0e9426d4094db123fa4d816ad2	refactor: migrate UI icons to ReLoop icon system, update typography controls with glyphs, and optimize dependencies	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,SHARED_BACKEND	1	apps/frontend/dashboard/src/features/logs/log-detail-panel.tsx,apps/frontend/dashboard/src/features/templates/editor/inspector/typography/mark-controls.tsx	The UI work is portable; mechanically convert the unchanged log-detail TanStack Link to a Next href while preserving its logId parameter.	mechanical port
111	61be7a1b51bd62c4b6115d55c7209a71dc76abdd	refactor: replace legacy AI generator with full agentic workflow including planning, chat, and multi-step composition	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/templates/editor/ai/use-template-ai-agent.ts,apps/backend/template/src/routes/template/ai/agent/agent.controllers.ts	Preserve the full current workflow; validate SSE sequencing, cancellation, uploads/object-URL cleanup, editor snapshot/application, and client-only APIs under Next.	semantic parity scenario
112	83c792ed47e290eb6797d631cc4cec3d03268dc8	feat: implement multimodal AI agent support with image attachments, session persistence, and enhanced editor interaction workflows.	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/templates/editor/ai/ai-composer.tsx,apps/backend/template/src/routes/template/ai/agent/tools.ts	Keep frontend attachment UI and backend vision capability paired; validate upload references, persistence, capability warnings, and editor interaction.	semantic parity scenario
113	51ebc12e59d29ed63dc1de3b263bc9bf1ddc7b3a	feat: add retry functionality and confirmation modal for AI content application	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/templates/editor/ai/ai-storage.ts,apps/frontend/dashboard/src/features/templates/editor/ai/ai-apply-modal.tsx	Retain sessionStorage keys and modal/retry state; ensure the template client boundary prevents server access and test reload, replace confirmation, undo, retry, and key listener cleanup.	semantic parity scenario
114	d76f0d0e7ebfcbe0c770c2f2cf3e86a2216c967f	refactor: implement output validation to prevent AI agent prompt leakage into email templates	mixed	UNIVERSAL_REACT,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/templates/editor/ai/ai-panel.tsx,apps/backend/template/src/routes/template/ai/agent/tools.ts	Preserve backend rejection and frontend refusal as one invariant; test leaked-prompt, escaped-tag, empty, and valid HTML cases.	semantic parity scenario
115	99bc34d3065c250fdf13042f5356f79186f97267	refactor: standardize subject line extraction and improve AI text streaming logic for composer modals	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/agent-inbox/lib/read-ai-text-stream-after-think.ts,apps/backend/inbox/src/routes/ai/ai.controllers.ts	Keep subject stripping and stream parsing aligned; validate Subject-prefix extraction, body-only editor content, abort handling, and global timer cleanup.	semantic parity scenario
116	35227cd90312546cdb498cb0d613bac23859eb86	feat: enable thread lookup by inbound email or message ID and update frontend to handle fallback thread identifiers	mixed	UNIVERSAL_REACT,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/thread-detail.tsx,apps/backend/inbox/src/routes/threads/get-thread/get-thread.controllers.ts	Preserve fallback identifier resolution and the frontend canonical-thread usage; test thread, inbound-email, and message identifiers plus not-found behavior.	semantic parity scenario
117	bfd5c40fed32bb335597872051d27a418d3eb8cc	refactor: redesign contact email history timeline with updated status configuration and lifecycle parsing	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT	2	apps/frontend/dashboard/src/features/contacts/detail/contact-email-history.tsx	Carry the timeline React/query logic unchanged; port the email-detail Link to a Next dynamic href and validate lifecycle aggregation, infinite loading, and navigation.	semantic parity scenario
118	96407f7bcf06dd5fd8559cd39b5effbc324b3c1c	feat: add animated status transitions for API keys and update toggle icons	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/detail/api-key-meta-grid.tsx	Portable React animation; retain enabled/disabled status semantics and icons.	mechanical port
119	78c1ed242e44fce2c32ad23bdf74b31aeac0457c	refactor: remove manual text confirmation requirement from delete modals for API keys and domains	dashboard-only	UNIVERSAL_REACT	2	apps/frontend/dashboard/src/features/api-keys/modals/delete-api-key-modal.tsx,apps/frontend/dashboard/src/features/domain/components/delete-domain.tsx	Preserve the current Enter-to-confirm and no-text-confirmation contract; include both destructive modals in parity tests.	semantic parity scenario
120	0e8fa8e9a962a85f1a213b73781b4b98dab27502	refactor: replace primary Button with destructive FancyButton in delete API key modal	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/delete-api-key-modal.tsx	Portable UI change; keep the destructive shared button variant.	mechanical port
121	9fb7dba54dfb00ed743d34a15b0485ae16a8671c	feat: enhance API key delete and rotate modal interactions with animated state transitions and refined layouts	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/api-keys/modals/delete-api-key-modal.tsx,apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Preserve cached targets, delayed success state, invalidation, close behavior, and timers; verify modal state survives list invalidation and cleans up on unmount.	semantic parity scenario
122	cd5ab8a03011e4b3ab25e2f8b89fb663e5e41d6c	feat: implement temporary notification banner upon successful API key deletion	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/api-keys/list/api-key-list.tsx,apps/frontend/dashboard/src/features/api-keys/modals/delete-api-key-modal.tsx	Preserve the callback-carried deleted name and eight-second banner lifetime; keep the list layout mounted long enough for close and exit animations.	semantic parity scenario
123	94f951eb11904332bbd278e17a9adc8832873c60	feat: enhance API keys UI with a new sidebar, refresh capability, and updated styling for inputs, buttons, and table interactions.	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/api-keys/list/api-key-list-header.tsx,apps/frontend/dashboard/src/features/api-keys/table/api-key-table.tsx	Keep the sidebar, manual invalidation, and external docs actions; preserve removal of row-click navigation rather than reintroducing it during router conversion.	semantic parity scenario
124	ad99a986337a791d6452dc7aac2367dac11c0a6f	refactor: modernize status and user filter dropdowns with updated styling and checkbox selection UI	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/api-keys/filters/base-ui-select.tsx	The Base UI select is portable and already declares a client boundary; preserve its render-trigger and selection semantics.	mechanical port
125	ca7d37be3cb88c291a33f7f8704fb31f3f230204	refactor: align SelectValue and SelectItem content using flex layout and shared components	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/filters/custom-select.tsx	Portable component/layout work; preserve Base UI value/item alignment.	mechanical port
126	dab376684bcd7889b7aee0570ee94a22c4bfb50f	refactor: update API key UI documentation and remove redundant modal access	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/common-use-cases-sidebar.tsx,apps/frontend/dashboard/src/features/api-keys/list/api-key-list-header.tsx	Portable copy/UI change; preserve removal of the redundant API details trigger.	mechanical port
127	7ee42c889cbc8cecb425827de1e139f95ca18741	feat: add renderTrigger support to ApiDetailsDrawer and use it in sidebar for API key navigation	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/components/api-details/api-details-drawer.tsx,apps/frontend/dashboard/src/features/api-keys/common-use-cases-sidebar.tsx	Preserve the framework-neutral renderTrigger API and drawer-open behavior unchanged.	mechanical port
128	e68ab1d0e90946a21bc1b751985b74887c55e3fb	feat: add language-specific SDK icons and update copy in API keys sidebar	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	1	apps/frontend/dashboard/src/features/dashboard/page-header/copy-prompt-button.tsx,packages/ui/src/components/icons-sprite.tsx	Keep SDK/icon UI and clipboard handler; ensure the page-header subtree is client-side and preserve timer cleanup behavior.	mechanical port
129	bd5387859e5468d6444b930d835a9bf671c04255	feat: add ChatGPT icon and refactor tool icons to support dynamic viewbox and custom styling	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/dashboard/page-header/copy-prompt-button.tsx	Portable SVG data and React rendering; preserve current viewboxes and icon set.	mechanical port
130	04d9ff942f1f86d92ebf0a221a3c4b0cb5a56277	feat: add cursor pointer to common use cases sidebar cards	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/common-use-cases-sidebar.tsx	Portable styling-only change.	mechanical port
131	65ffc0e9645ce9c7322b54dea6a0653098c2c61a	feat: implement dedicated API key creation page and add minHeight prop to CopyCodeBlock	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT	3	apps/frontend/dashboard/src/routes/_dashboard/api-keys/create.tsx,apps/frontend/dashboard/src/features/api-keys/create/create-api-key-page.tsx	Recreate /api-keys/create as an authenticated dashboard App Router page with matching metadata; port cancel/create entry navigation and preserve one-time secret, SDK tabs, validation, and CopyCodeBlock API.	blocking migration requirement
132	85372c042dee9b59726b5f67353897e03ce09a26	fix: update icon color styling and implement navigation logic for api key creation flow	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT	2	apps/frontend/dashboard/src/features/api-keys/create/create-api-key-page.tsx	Port Continue to /api-keys/[apiKeyId] and its fallback to /api-keys using encoded Next href/navigation; preserve current cancel behavior separately.	semantic parity scenario
133	e34b51a61a408e10712e652ed55da231857ccc19	refactor: redesign API key rotation success modal with modernized layout and styling	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/success-step.tsx	Portable React/UI work; retain one-time secret presentation.	mechanical port
134	1047b9dea3c79c6ecc5c4f6889c5c9ff1a77e646	feat: add framer-motion layout transitions and step animations to rotate API key modal	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Portable animation; keep it inside the modal client subtree.	mechanical port
135	5a87998fcd1dbf409a77bf691753a4a03131ff0a	feat: add ghost variant to fancy-button and update small button border radius to rounded-xl	none	SHARED_BACKEND	0	packages/ui/src/components/fancy-button.tsx	Shared UI-only change is already inherited from main.	preserved by ancestry
136	1f60a427a38ee05d31f661e5a88a4de78fbe722e	refactor: lift modal header into parent component to enable fluid layout transitions between steps	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Portable component-state refactor; preserve header transition and step copy.	mechanical port
137	045c5ad28b6158771d496df5cf9ca19dace301a3	refactor: move rotate-api-key-modal footer actions to the main parent component	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Portable component-state refactor; preserve disabled and step-specific footer behavior.	mechanical port
138	3fde03415aac358ddd9dc475938b426f0883b03b	feat: add @base-ui/react to dashboard dependencies and update lockfile	mixed	ENV_BUILD_DEPLOY	2	apps/frontend/dashboard/package.json,bun.lock	Retain @base-ui/react when rebuilding the dashboard package manifest; discard only obsolete Nitro lock churn and verify a frozen install.	semantic parity scenario
139	8e11e4c97f9a05477c3ca96cc18dc1b0e532b9d0	feat: add success notification banners for API key rotation and deletion via callback handlers	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/api-keys/list/api-key-list.tsx,apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Preserve callback delivery through modal close/invalidation, stable target refs, independent banners, and their expiration timers.	semantic parity scenario
140	3c7f6d289cd17ae4c4bee8d5935bb7015088c178	refactor: wrap status banners in stable AnimatePresence blocks with unique keys	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/list/api-key-list.tsx	Portable React keying fix; retain exact AnimatePresence ownership to avoid broken exits.	mechanical port
141	ab2c34df002d479f714177c53327f7d0bc4a8c29	refactor: remove success toast notification after API key rotation	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/rotate-api-key-modal/index.tsx	Preserve removal of the duplicate toast; banner remains the success feedback.	mechanical port
142	bd2dfa69cd4ab451ba8734a5744de0d5afc40c45	feat: update API key empty state with new visual design and FancyButton component	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/table/empty-state.tsx	Portable empty-state React/UI; keep its create callback connected to the dedicated page.	mechanical port
143	4146f108bbf514ba67e5219465436535a6902fa5	refactor: implement animated modal steps and centralized footer for API key creation workflow	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/api-keys/modals/create-api-key-modal/index.tsx	Portable legacy modal refactor; preserve current final state, noting that the dedicated page is the active entry point.	mechanical port
144	1a5021427222669fb5612d15303b6bde6b613856	refactor: migrate onboarding flow components to use FancyButton and update spacing and sizing utilities	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/onboarding/step1/create-org-step.tsx,apps/frontend/dashboard/src/features/onboarding/step3/configure-dns-actions.tsx	Portable onboarding UI; preserve current actions and keyboard behavior.	mechanical port
145	f01d5668ebab87886712f6e677e1b05ad0cc34d2	feat: add height animation state and update layout padding in split-layout component	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/onboarding/split-layout.tsx	Keep the client-side height/timer behavior, subsequently superseded in part by commit 146.	mechanical port
146	34db1e642060f1502c6e746a098e850ea27fa6cc	refactor: move onboarding step titles into individual components and simplify SplitLayout height animations	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/onboarding/split-layout.tsx	Retain the current ResizeObserver and measured-height animation only inside a client component; test first hydration, step changes, resize, and observer cleanup.	semantic parity scenario
147	f83737171206937fa26d87501de28807db673077	refactor: remove advanced domain configuration options from onboarding step 2	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/onboarding/step2/add-domain-step.tsx	Preserve removal of the advanced options; do not revive the old Next-era controls.	mechanical port
148	7f1d29eecececf869e9f2c767d5c20a029c5ea3c	refactor: simplify developer playground layout by removing step cards and adjust post-generate container styling	dashboard-only	UNIVERSAL_REACT	1	apps/frontend/dashboard/src/features/onboarding/step4/developer-playground.tsx	Portable onboarding layout; retain the current simplified sequence.	mechanical port
